Year,Month_AR,Month_EN,Service_AR,Service_EN,Confiscated food and health products(kg)
2015.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,258.0
2015.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1214.0
2015.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1000.0
2015.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,50.0
2016.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2016.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1759.5
2016.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,3090.0
2016.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,30.0
2016.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2016.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2017.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,98.0
2017.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,172.0
2018.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,11166.0
2018.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,896.0
2018.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,13899.0
2018.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,455.0
2018.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,21915.0
2019.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,70.0
2019.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5576.0
2019.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2020.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,177.75
2020.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5426.2
2021.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1780.0
2021.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1711.45
2021.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,8879.0
2021.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,500.0
2022.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,111.45
2022.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,6830.0
2022.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,7549.2
2015.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,393.5
2015.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1186.3
2015.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2015.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,280.0
2015.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1453.0
2015.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,7.0
2016.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5000.0
2016.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2017.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,4198.0
2017.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,285.94
2017.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,2330.0
2017.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2017.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,6.0
2018.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,900.0
2018.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,19395.0
2018.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,138.0
2018.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5020.0
2018.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,8207.0
2018.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,2608.0
2019.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1481.0
2019.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1135.0
2019.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5701.0
2019.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,26477.0
2019.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2020.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,260.0
2020.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1749.0
2020.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2020.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,392.5
2021.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1522.0
2021.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,82.0
2021.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,32244.0
2022.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,750.0
2022.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,111.0
2022.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2023.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,381.0
2023.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5079.0
2023.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2015.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1087.0
2015.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1000.0
2016.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,5793.0
2016.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1692.0
2016.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,3135.0
2016.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,0.0
2017.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,624.0
2017.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,33078.0
2017.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,665.0
2017.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1298.0
2017.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,51500.0
2018.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,22134.0
2019.0,مارس,March,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,11052.0
2019.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,6898.0
2019.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,10.0
2019.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,2273.0
2020.0,ابريل,April,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1455.0
2020.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,4791.0
2020.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,1628.0
2020.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,4979.0
2020.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,758412.95
2020.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,4329.405
2021.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,22073.6
2021.0,يونيو,June,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,8075.0
2021.0,اغسطس,August,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,10752.0
2021.0,اكتوبر,October,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,380.0
2021.0,نوفمبر,November,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,904.0
2022.0,يناير,January,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,280.0
2022.0,فبراير,February,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,13876.0
2022.0,مايو,May,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,8621.0
2022.0,يوليو,July,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,7641.0
2022.0,سبتمبر,September,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,14731.0
2022.0,ديسيمبر,December,المصادرات من المواد الغذائية,Confiscations of Foodstuffs,32288.5
