Year,Month_AR,Month_EN,Service _AR,Service_EN,Number of Exporting Certificates  
2015.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,350.0
2015.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,358.0
2016.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,382.0
2016.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,364.0
2016.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,414.0
2016.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,512.0
2017.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,440.0
2017.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,407.0
2017.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,491.0
2017.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,307.0
2018.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,412.0
2019.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,363.0
2019.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,247.0
2019.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,329.0
2019.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,328.0
2020.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,332.0
2020.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,170.0
2020.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,126.0
2020.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,271.0
2021.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,322.0
2021.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,331.0
2021.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,319.0
2021.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,194.0
2022.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,198.0
2022.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,156.0
2022.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,243.0
2023.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,239.0
2023.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,273.0
2015.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,317.0
2015.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,301.0
2015.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,316.0
2015.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,332.0
2015.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,338.0
2015.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,250.0
2016.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,414.0
2016.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,270.0
2016.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,495.0
2016.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,0.0
2017.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,476.0
2017.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,294.0
2017.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,426.0
2017.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,288.0
2018.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,297.0
2018.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,276.0
2018.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,389.0
2018.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,312.0
2019.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,372.0
2020.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,237.0
2020.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,209.0
2020.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,165.0
2020.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,350.0
2021.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,141.0
2021.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,151.0
2021.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,195.0
2021.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,216.0
2022.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,211.0
2022.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,223.0
2022.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,175.0
2022.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,181.0
2022.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,211.0
2023.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,185.0
2015.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,135.0
2015.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,270.0
2015.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,329.0
2015.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,298.0
2016.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,344.0
2016.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,331.0
2016.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,255.0
2016.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,0.0
2017.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,394.0
2017.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,394.0
2018.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,323.0
2018.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,324.0
2018.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,408.0
2018.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,335.0
2018.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,341.0
2018.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,353.0
2019.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,327.0
2019.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,250.0
2020.0,يونيو,June,شهادات صلاحية التصدير,Exporting Certificates,213.0
2020.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,228.0
2021.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,177.0
2021.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,203.0
2022.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,151.0
2022.0,اغسطس,August,شهادات صلاحية التصدير,Exporting Certificates,194.0
2022.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,217.0
2017.0,فبراير,February,شهادات صلاحية التصدير,Exporting Certificates,390.0
2017.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,425.0
2018.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,417.0
2019.0,يناير,January,شهادات صلاحية التصدير,Exporting Certificates,386.0
2019.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,359.0
2019.0,اكتوبر,October,شهادات صلاحية التصدير,Exporting Certificates,332.0
2019.0,نوفمبر,November,شهادات صلاحية التصدير,Exporting Certificates,317.0
2019.0,ديسيمبر,December,شهادات صلاحية التصدير,Exporting Certificates,365.0
2020.0,مارس,March,شهادات صلاحية التصدير,Exporting Certificates,321.0
2020.0,يوليو,July,شهادات صلاحية التصدير,Exporting Certificates,215.0
2021.0,ابريل,April,شهادات صلاحية التصدير,Exporting Certificates,186.0
2021.0,سبتمبر,September,شهادات صلاحية التصدير,Exporting Certificates,210.0
2022.0,مايو,May,شهادات صلاحية التصدير,Exporting Certificates,139.0
